Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
2007,Butterfly on a Wheel,14.162,395,Average_Performer,Crime
2007,Butterfly on a Wheel,14.162,395,Average_Performer,Drama
2007,Butterfly on a Wheel,14.162,395,Average_Performer,Thriller
2010,Cop Out,14.159,1213,Low_Rated,Action
2010,Cop Out,14.159,1213,Low_Rated,Comedy
2010,Cop Out,14.159,1213,Low_Rated,Crime
2008,Picture This,14.158,256,Low_Rated,Comedy
2020,Have a Good Trip: Adventures in Psychedelics,14.157,122,Well_Received,Documentary
2011,Wuthering Heights,14.157,182,Low_Rated,Drama
2011,Wuthering Heights,14.157,182,Low_Rated,Romance
2001,The Glass House,14.157,750,Low_Rated,Drama
2001,The Glass House,14.157,750,Low_Rated,Thriller
2005,Chucky's Vacation Slides,14.155,7,Average_Performer,Comedy
2005,Chucky's Vacation Slides,14.155,7,Average_Performer,Horror
2015,A Very Murray Christmas,14.155,338,Low_Rated,Comedy
2015,A Very Murray Christmas,14.155,338,Low_Rated,Music
2008,The Burning Plain,14.155,330,Average_Performer,Drama
2008,The Burning Plain,14.155,330,Average_Performer,Romance
2008,The Burning Plain,14.155,330,Average_Performer,Crime
2005,Supercross,14.154,107,Average_Performer,Action
2005,Supercross,14.154,107,Average_Performer,Adventure
2005,Supercross,14.154,107,Average_Performer,Drama
2005,Supercross,14.154,107,Average_Performer,Romance
1982,Star Trek II: The Wrath of Khan,14.152,1466,Blockbuster,Action
1982,Star Trek II: The Wrath of Khan,14.152,1466,Blockbuster,Adventure
1982,Star Trek II: The Wrath of Khan,14.152,1466,Blockbuster,Science Fiction
1982,Star Trek II: The Wrath of Khan,14.152,1466,Blockbuster,Thriller
2001,Fat Girl,14.15,144,Average_Performer,Drama
1940,Rebecca,14.15,1255,Blockbuster,Mystery
1940,Rebecca,14.15,1255,Blockbuster,Drama
1940,Rebecca,14.15,1255,Blockbuster,Thriller
1940,Rebecca,14.15,1255,Blockbuster,Romance
2019,"Turu, the Wacky Hen",14.148,85,Blockbuster,Family
2019,"Turu, the Wacky Hen",14.148,85,Blockbuster,Animation
2019,"Turu, the Wacky Hen",14.148,85,Blockbuster,Music
2019,"Turu, the Wacky Hen",14.148,85,Blockbuster,Adventure
2017,The Dinner,14.148,236,Low_Rated,Drama
2017,The Dinner,14.148,236,Low_Rated,Thriller
2017,The Dinner,14.148,236,Low_Rated,Mystery
1998,Blues Brothers 2000,14.147,511,Low_Rated,Music
